"filename", "language", "Java", "XML", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.VSCodeCounter\2023-11-20_00-22-42\diff-details.md", "Markdown", 0, 0, 9, 0, 0, 0, 6, 15
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.VSCodeCounter\2023-11-20_00-22-42\diff.csv", "CSV", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.VSCodeCounter\2023-11-20_00-22-42\diff.md", "Markdown", 0, 0, 12, 0, 0, 0, 7, 19
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.VSCodeCounter\2023-11-20_00-22-42\results.csv", "CSV", 0, 0, 0, 112, 0, 0, 0, 112
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.VSCodeCounter\2023-11-20_00-22-42\results.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.VSCodeCounter\2023-11-20_00-22-42\results.md", "Markdown", 0, 0, 49, 0, 0, 0, 7, 56
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.idea\misc.xml", "XML", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.idea\modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Controllers\ThemeController.class", "Java", 31, 0, 0, 0, 0, 0, 0, 31
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Controllers\ThemeMode.class", "Java", 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Exports\AttendenceReport_d0615189-e5c2-4102-b5a5-e12ffe10cd43.csv", "CSV", 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Abstract\AUser.class", "Java", 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\AttendanceReport.class", "Java", 55, 0, 0, 0, 0, 0, 0, 55
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Attendees.class", "Java", 39, 0, 0, 0, 0, 0, 0, 39
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Camp.class", "Java", 58, 0, 0, 0, 0, 29, 0, 87
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\CampCommiteeMember.class", "Java", 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\CampCommiteeMembers.class", "Java", 28, 0, 0, 0, 0, 0, 0, 28
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\CampList.class", "Java", 92, 0, 0, 0, 0, 0, 0, 92
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Enquiry.class", "Java", 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\EnquiryList.class", "Java", 42, 0, 0, 0, 0, 0, 0, 42
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\EnquiryResponse.class", "Java", 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\EnquiryResponseList.class", "Java", 36, 0, 0, 0, 0, 0, 0, 36
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Interface\ICampInformation.class", "Java", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\PerformanceReport.class", "Java", 59, 0, 0, 0, 0, 0, 0, 59
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\PermissionList$PermissionType.class", "Java", 24, 0, 0, 0, 0, 0, 0, 24
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\PermissionList.class", "Java", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Report.class", "Java", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Staff.class", "Java", 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Student.class", "Java", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\Suggestion.class", "Java", 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Models\SuggestionList.class", "Java", 76, 0, 0, 0, 0, 0, 0, 76
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\SC2002Assignment.iml", "XML", 0, 11, 0, 0, 0, 0, 0, 11
"c:\Users\yongk\Desktop\SC2002\CAMS_Assignment\SC2002Assignment\out\production\SC2002Assignment\Views\Camps\CampListStaffMenuView.class", "Java", 74, 0, 0, 0, 0, 0, 0, 74
"Total", "-", 3882, 60, 193, 124, 1, 134, 636, 5030
